gene_symbol,Mms22l
pvalue,0.7633137
mouse_life_stage,Early adult
parameter_name,Effector NK cells - % of NK cells
analysis_id,btjg01y2615q8aw
mouse_strain,C57BL
gene_accession_id,MGI:2684980
parameter_id,MGP_MLN_032_001
