analysis_id,b68g8190desbj9k
parameter_id,IMPC_OWT_004_001
gene_symbol,Cds2
gene_accession_id,MGI:1332236
pvalue,0.1213563
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,Right kidney weight
