analysis_id,b5pyx819fpgt44f
parameter_id,MGP_IMM_112_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2674093
gene_symbol,Psd4
parameter_name,Follicular B cells - % of CD45+
pvalue,0.1253523
mouse_strain,C57BL
