parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:2385156
parameter_name,Placenta Size
mouse_strain,C57BL
gene_symbol,Sdcbp2
analysis_id,fd9k9vhdb7baea4
mouse_life_stage,Early adult
pvalue,0.398699
