parameter_id,IMPC_GPP_004_001
gene_accession_id,MGI:104848
gene_symbol,Inpp1
parameter_name,Placenta Size
pvalue,0.1314913
mouse_strain,C57BL
analysis_id,44tw67latp743i6
mouse_life_stage,Early adult
