gene_symbol,Stk35
mouse_life_stage,Early adult
gene_accession_id,MGI:1914583
parameter_name,DN CD25- NKT cells
mouse_strain,C57BL
pvalue,0.2200035
analysis_id,0l6qc44s895ylzn
parameter_id,IMPC_IMM_025_001
