analysis_id,7fvhut8l1wvgstc
mouse_strain,C57BL
parameter_name,Aspartate aminotransferase
gene_symbol,Cd52
mouse_life_stage,Early adult
pvalue,0.5077762
gene_accession_id,MGI:1346088
parameter_id,IMPC_CBC_012_001
