mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_CBC_013_001
pvalue,0.9109256
gene_symbol,Snap23
analysis_id,0729760l143926q
parameter_name,Alanine aminotransferase
gene_accession_id,MGI:109356
