analysis_id,9n13fpn9dhrzbh1
parameter_id,HMGULA_CBC_016_001
mouse_strain,129SV
pvalue,0.7010488
parameter_name,HDL-cholesterol
gene_symbol,Inpp1
gene_accession_id,MGI:104848
mouse_life_stage,Early adult
