gene_symbol,Mapkap1
mouse_strain,C57BL
mouse_life_stage,E12.5
analysis_id,ysm4d6y013im36s
parameter_name,KLRG1+ mature NK cell percentage
parameter_id,MGP_PBI_011_001
pvalue,0.07100339
gene_accession_id,MGI:2444554
