parameter_name,Follicular B Cells (CD21/35+)
mouse_strain,C57BL
gene_accession_id,MGI:1915472
mouse_life_stage,Early adult
parameter_id,IMPC_IMM_067_001
analysis_id,66dlb79uqeja2o8
gene_symbol,Tubb4b
pvalue,0.7475913
