analysis_id,a9fm4nye80l2p4f
mouse_life_stage,Early adult
parameter_name,Red blood cell distribution width
gene_symbol,Cisd2
parameter_id,IMPC_HEM_027_001
gene_accession_id,MGI:1914256
mouse_strain,C57BL
pvalue,0.8492387
