analysis_id,8thrz2fr2664337
gene_symbol,Sla2
mouse_strain,C57BL
parameter_name,Calcium
parameter_id,HMGULA_CBC_009_001
mouse_life_stage,Early adult
pvalue,0.4983832
gene_accession_id,MGI:1925049
