analysis_id,ww7r6vy2w21l1g2
mouse_strain,C57BL
parameter_name,Lean mass
mouse_life_stage,Early adult
gene_symbol,Wars2
parameter_id,IMPC_DXA_003_001
pvalue,0.6237738
gene_accession_id,MGI:1917810
