gene_symbol,Slx4ip
mouse_life_stage,Early adult
gene_accession_id,MGI:1921493
parameter_name,Follicular B cells - % of B2 cells
analysis_id,6wp6050y3079f28
mouse_strain,C57BL
pvalue,0.2021312
parameter_id,MGP_IMM_048_001
