analysis_id,5d8j5u934do18ri
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_name,Contact righting
parameter_id,JAXLA_CSD_077_001
pvalue,0.4527845
mouse_life_stage,Early adult
mouse_strain,129SV
