parameter_id,IMPC_HWT_008_001
gene_symbol,Mms22l
gene_accession_id,MGI:2684980
parameter_name,Heart weight
pvalue,0.1027539
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,bg67yy0i3yq44z5
