gene_symbol,Cisd2
gene_accession_id,MGI:1914256
mouse_strain,C57BL
parameter_id,JAXLA_CBC_015_001
mouse_life_stage,Early adult
pvalue,0.1426147
parameter_name,Total cholesterol
analysis_id,64z3s0g41m3c338
