analysis_id,bz6ob05rukxppp6
parameter_name,Aggression
parameter_id,IMPC_CSD_079_001
mouse_strain,C57BL
mouse_life_stage,E15.5
gene_accession_id,MGI:2444554
pvalue,0.7929696
gene_symbol,Mapkap1
