parameter_name,White blood cell count
gene_symbol,Mov10
gene_accession_id,MGI:97054
analysis_id,u980i4974a1g0r9
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_001_001
mouse_strain,C57BL
pvalue,0.8851079
