gene_symbol,Zc2hc1a
mouse_strain,C57BL
parameter_id,JAXLA_OFD_020_001
gene_accession_id,MGI:1914556
analysis_id,9xyjrv77v39a2k0
mouse_life_stage,Early adult
parameter_name,Distance travelled - total
pvalue,0.42092
