analysis_id,04i6797723932fz
gene_symbol,Arpc5l
pvalue,0.9482015
mouse_life_stage,Early adult
parameter_id,M-G-P_005_001_004
gene_accession_id,MGI:1921442
parameter_name,Bone Mineral Density (excluding skull)
mouse_strain,C57BL
