gene_symbol,Cmpk1
mouse_strain,C51BL
pvalue,0.9984509
parameter_id,UCD_OWT_003_001
parameter_name,Spleen weight
mouse_life_stage,Early adult
gene_accession_id,MGI:1913838
analysis_id,3nziry8h04z3338
