parameter_name,Tibia length
gene_symbol,Kcng1
pvalue,0.1327229
gene_accession_id,MGI:3616086
parameter_id,IMPC_XRY_033_001
mouse_life_stage,Early adult
mouse_strain,C57BL
analysis_id,3a13v02nyyhje5h
