analysis_id,ax2n336t7uy26t6
pvalue,0.7047313
gene_symbol,Slc2a8
mouse_life_stage,Early adult
gene_accession_id,MGI:1860103
parameter_id,MGP_IMM_007_001
mouse_strain,C57BL
parameter_name,Resting CD4+ T helper cells - % of CD4+ T helper cells
