parameter_name,Whole arena average speed
analysis_id,npv043237jf9iyx
parameter_id,JAXLA_OFD_009_001
pvalue,0.6626764
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Kdm4c
gene_accession_id,MGI:1924054
