gene_symbol,Ap5s1
pvalue,0.4181843
parameter_name,Ly6Clow monocyte percentage
gene_accession_id,MGI:1916846
analysis_id,fh82u153d0fn086
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_id,MGP_PBI_018_001
