gene_symbol,Gja10
mouse_strain,C57BL
parameter_id,HRWLLA_OFD_020_001
mouse_life_stage,Early adult
analysis_id,xb0u4435lh0j2rx
gene_accession_id,MGI:1339969
parameter_name,Distance travelled - total
pvalue,0.407081
