parameter_name,Distance travelled - total
gene_accession_id,MGI:1274787
analysis_id,5kdg179sz3agc01
mouse_strain,C57BL
gene_symbol,Trdmt1
mouse_life_stage,Early adult
parameter_id,JAXLA_OFD_020_001
pvalue,0.5352057
