analysis_id,q9k64smm8qrh37p
mouse_strain,C57BL
parameter_name,Basophil differential count
pvalue,0.8942517
gene_accession_id,MGI:1915848
gene_symbol,Dnajc8
mouse_life_stage,Early adult
parameter_id,IMPC_HEM_038_001
