parameter_name,Stroke Volume
gene_symbol,Hpca
mouse_strain,C57BL
gene_accession_id,MGI:1336200
analysis_id,rh3cp2f1f4v7chc
pvalue,0.821745
parameter_id,IMPC_ECH_003_001
mouse_life_stage,Early adult
