gene_symbol,Bpifa3
parameter_id,M-G-P_026_001_004
mouse_strain,C57BL
gene_accession_id,MGI:1920638
mouse_life_stage,Early adult
parameter_name,Coat colouration
analysis_id,1gvdi11h35h9mwc
pvalue,0.3787509
