parameter_id,JAX_URI_002_001
analysis_id,f3awpwtg14ofn28
parameter_name,Creatinine
mouse_strain,129SV
pvalue,0.519349
gene_accession_id,MGI:1921802
gene_symbol,Nipal3
mouse_life_stage,Early adult
