gene_symbol,Ints7
mouse_strain,C57BL
gene_accession_id,MGI:1924315
parameter_id,MGP_IMM_130_001
pvalue,0.332095
mouse_life_stage,E9.5
analysis_id,7m84897yt20vj49
parameter_name,CD11b-low cDC - % of CD45+
