analysis_id,q8465p492qzti7d
pvalue,0.7339459
parameter_name,Facial Morphology
gene_accession_id,MGI:1914836
parameter_id,IMPC_GEP_017_001
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_symbol,Ubxn11
