gene_symbol,Kdm5b
gene_accession_id,MGI:1922855
mouse_strain,C57BL
mouse_life_stage,Early adult
parameter_name,CD11b-high cDC - % of CD45+
analysis_id,w9nh2ba88b9ki26
pvalue,0.4740817
parameter_id,MGP_IMM_129_001
