analysis_id,s398727m0p1sh05
gene_accession_id,MGI:1913576
pvalue,0.1509106
gene_symbol,Dnajc5b
parameter_name,Chloride
mouse_life_stage,Early adult
parameter_id,HMGULA_CBC_003_001
mouse_strain,C57BL
