gene_symbol,Ncaph
parameter_name,Radius
parameter_id,IMPC_XRY_022_001
mouse_strain,C57BL
pvalue,0.306459
analysis_id,222nz2mitfiwpqr
gene_accession_id,MGI:2444777
mouse_life_stage,Early adult
