gene_symbol,Eprs1
parameter_id,IMPC_CSD_051_002
parameter_name,Hindlimb nail - number
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.3736971
gene_accession_id,MGI:97838
analysis_id,3bw259hn17bgd4i
