gene_symbol,Sgip1
mouse_strain,C57BL
gene_accession_id,MGI:1920344
mouse_life_stage,Early adult
analysis_id,49gk4wk0pih46sv
pvalue,0.3296021
parameter_id,MGP_MLN_032_001
parameter_name,Effector NK cells - % of NK cells
