mouse_strain,129SV
mouse_life_stage,Early adult
pvalue,0.8162665
parameter_name,ST
parameter_id,IMPC_ECG_008_001
analysis_id,cg86hr2ow9v45h1
gene_symbol,Ddx27
gene_accession_id,MGI:2385884
