parameter_id,JAXLA_CSD_077_001
mouse_life_stage,Early adult
gene_symbol,Traf6
pvalue,0.8726096
gene_accession_id,MGI:108072
analysis_id,53xj4b6n1w5yu7b
mouse_strain,C57BL
parameter_name,Contact righting
