parameter_name,Weight
mouse_strain,C57BL
parameter_id,CCP_LFO_001_001
mouse_life_stage,Early adult
gene_accession_id,MGI:2684980
gene_symbol,Mms22l
analysis_id,53jc6eiywr5z670
pvalue,0.9014867
