parameter_id,IMPC_IMM_071_001
gene_symbol,Sprr1b
analysis_id,w5xvyihkk0457h7
gene_accession_id,MGI:106659
mouse_life_stage,Early adult
pvalue,0.2803867
parameter_name,MZB (CD21/35 high)
mouse_strain,C57BL
