parameter_name,B cell percentage
parameter_id,MGP_PBI_014_001
mouse_strain,C57BL
mouse_life_stage,Early adult
gene_accession_id,MGI:1915848
pvalue,0.8252886
gene_symbol,Dnajc8
analysis_id,545ysu2n2d55039
