analysis_id,hx83617g912w0x8
pvalue,0.6020254
gene_symbol,Ssr2
parameter_name,Anophthalmia
mouse_strain,C57BL
parameter_id,IMPC_GEO_048_002
mouse_life_stage,Early adult
gene_accession_id,MGI:1913506
