analysis_id,oh5fkcabebvv290
mouse_life_stage,Early adult
parameter_name,Effector gd T cells - % of gd T cells
gene_symbol,Slx4ip
gene_accession_id,MGI:1921493
pvalue,0.5816733
mouse_strain,C57BL
parameter_id,MGP_IMM_020_001
