parameter_name,Eye
gene_symbol,Mecom
mouse_strain,C57BL
mouse_life_stage,E15.5
analysis_id,yj2t6kg7iu673dw
pvalue,0.8703349
gene_accession_id,MGI:95457
parameter_id,M-G-P_014_001_001
