analysis_id,5ycpazk0v96qj3v
mouse_strain,C57BL
mouse_life_stage,Early adult
pvalue,0.1460509
gene_symbol,Psd4
gene_accession_id,MGI:2674093
parameter_name,6kHz-evoked ABR Threshold
parameter_id,IMPC_ABR_004_001
