analysis_id,ri71p7nuykvl78q
gene_accession_id,MGI:1345282
pvalue,0.6477295
mouse_strain,C54BL
mouse_life_stage,Middle aged adult
parameter_id,ESLIM_007_001_009
gene_symbol,Slc30a4
parameter_name,Periphery average speed
