analysis_id,9q9a569875m5x77
parameter_name,Mean-cell-volume
gene_accession_id,MGI:1919107
mouse_life_stage,Early adult
mouse_strain,C57BL
pvalue,0.277172
parameter_id,M-G-P_016_001_005
gene_symbol,Slc17a9
