analysis_id,2p28soi75w13vl2
parameter_name,Mean-cell-volume
gene_accession_id,MGI:1346088
gene_symbol,Cd52
pvalue,0.7056598
mouse_strain,C57BL
parameter_id,M-G-P_016_001_005
mouse_life_stage,Early adult
