gene_symbol,Zyg11b
parameter_name,Glucose
mouse_life_stage,Early adult
parameter_id,IMPC_CBC_018_001
analysis_id,qs552o7obrhh02p
pvalue,0.8787715
mouse_strain,C57BL
gene_accession_id,MGI:2685277
