parameter_name,Total cholesterol
parameter_id,IMPC_CBC_015_001
pvalue,0.1076034
mouse_life_stage,Early adult
gene_symbol,Slc39a10
analysis_id,7s24iwg1jz9q8p0
mouse_strain,C57BL
gene_accession_id,MGI:1914515
