parameter_name,Haemoglobin
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_id,ESLIM_016_001_003
analysis_id,xcic9wp71i6m17h
pvalue,0.7303568
gene_symbol,Dnajc8
gene_accession_id,MGI:1915848
