analysis_id,3783smged33vi11
parameter_id,IMPC_GEP_076_001
gene_symbol,Secisbp2l
mouse_life_stage,Early adult
mouse_strain,C57BL
parameter_name,Cleft palate
pvalue,0.370799
gene_accession_id,MGI:1917604
