gene_symbol,Secisbp2l
pvalue,0.9928847
parameter_name,Anophthalmia
mouse_life_stage,Middle aged adult
analysis_id,601h7zqp0zw6754
mouse_strain,C57BL
gene_accession_id,MGI:1917604
parameter_id,IMPC_GEO_048_002
