parameter_name,BMC/Body weight
mouse_strain,C57BL
analysis_id,srk86ow3isms76w
pvalue,0.9264201
gene_symbol,Fpgs
gene_accession_id,MGI:95576
parameter_id,HRWLLA_DXA_007_001
mouse_life_stage,Early adult
