parameter_id,IMPC_XRY_065_001
mouse_life_stage,E18.5
analysis_id,p171c592csslw29
gene_accession_id,MGI:1914309
parameter_name,Lumbar processes
mouse_strain,C57BL
pvalue,0.1471543
gene_symbol,Ola1
