analysis_id,4k2p8gsmr0405c9
parameter_id,JAX_OFD_017_001
mouse_strain,C57BL
gene_accession_id,MGI:1918025
gene_symbol,Zmynd8
pvalue,0.472231
parameter_name,Center average speed
mouse_life_stage,Early adult
