analysis_id,s67qbeg320aqg92
mouse_life_stage,Early adult
mouse_strain,C57BL
gene_accession_id,MGI:2685266
gene_symbol,Pglyrp3
pvalue,0.2255243
parameter_name,CD11b-low cDC - % of CD45+
parameter_id,MGP_IMM_130_001
