parameter_name,Shape of ribcage
gene_symbol,Lpgat1
mouse_life_stage,Middle aged adult
gene_accession_id,MGI:2446186
parameter_id,IMPC_XRY_059_001
pvalue,0.9894827
analysis_id,606s13f08jmlgzx
mouse_strain,C57BL
