analysis_id,j085567owciae74
parameter_name,BMC/Body weight
mouse_life_stage,Middle aged adult
mouse_strain,C57BL
parameter_id,IMPC_DXA_007_001
gene_accession_id,MGI:2446186
gene_symbol,Lpgat1
pvalue,0.9090761
