gene_symbol,Mms22l
gene_accession_id,MGI:2684980
analysis_id,a9ui090n55jemy1
mouse_life_stage,Early adult
parameter_id,MGP_MLN_021_001
mouse_strain,C57BL
parameter_name,KLRG1+ gd T cells - % of gd T cells
pvalue,0.1858236
